zip,city,state_name,active
01801,Service Area,US,yes
01803,Service Area,US,yes
01810,Service Area,US,yes
01821,Service Area,US,yes
01824,Service Area,US,yes
01826,Service Area,US,yes
01827,Service Area,US,yes
01830,Service Area,US,yes
01832,Service Area,US,yes
01833,Service Area,US,yes
01834,Service Area,US,yes
01835,Service Area,US,yes
01840,Service Area,US,yes
01841,Service Area,US,yes
01843,Service Area,US,yes
01844,Service Area,US,yes
01845,Service Area,US,yes
01850,Service Area,US,yes
01851,Service Area,US,yes
01852,Service Area,US,yes
01854,Service Area,US,yes
01860,Service Area,US,yes
01862,Service Area,US,yes
01863,Service Area,US,yes
01864,Service Area,US,yes
01867,Service Area,US,yes
01876,Service Area,US,yes
01879,Service Area,US,yes
01880,Service Area,US,yes
01886,Service Area,US,yes
01887,Service Area,US,yes
01890,Service Area,US,yes
01901,Service Area,US,yes
01902,Service Area,US,yes
01904,Service Area,US,yes
01905,Service Area,US,yes
01906,Service Area,US,yes
01907,Service Area,US,yes
01908,Service Area,US,yes
01913,Service Area,US,yes
01915,Service Area,US,yes
01921,Service Area,US,yes
01922,Service Area,US,yes
01923,Service Area,US,yes
01929,Service Area,US,yes
01930,Service Area,US,yes
01937,Service Area,US,yes
01938,Service Area,US,yes
01940,Service Area,US,yes
01944,Service Area,US,yes
01945,Service Area,US,yes
01949,Service Area,US,yes
01950,Service Area,US,yes
01951,Service Area,US,yes
01952,Service Area,US,yes
01960,Service Area,US,yes
01966,Service Area,US,yes
01969,Service Area,US,yes
01970,Service Area,US,yes
01982,Service Area,US,yes
01983,Service Area,US,yes
01984,Service Area,US,yes
01985,Service Area,US,yes
02019,Service Area,US,yes
02021,Service Area,US,yes
02025,Service Area,US,yes
02026,Service Area,US,yes
02030,Service Area,US,yes
02032,Service Area,US,yes
02035,Service Area,US,yes
02038,Service Area,US,yes
02043,Service Area,US,yes
02045,Service Area,US,yes
02047,Service Area,US,yes
02048,Service Area,US,yes
02050,Service Area,US,yes
02052,Service Area,US,yes
02053,Service Area,US,yes
02054,Service Area,US,yes
02056,Service Area,US,yes
02061,Service Area,US,yes
02062,Service Area,US,yes
02066,Service Area,US,yes
02067,Service Area,US,yes
02071,Service Area,US,yes
02072,Service Area,US,yes
02081,Service Area,US,yes
02090,Service Area,US,yes
02093,Service Area,US,yes
02108,Service Area,US,yes
02109,Service Area,US,yes
02110,Service Area,US,yes
02111,Service Area,US,yes
02113,Service Area,US,yes
02114,Service Area,US,yes
02115,Service Area,US,yes
02116,Service Area,US,yes
02118,Service Area,US,yes
02119,Service Area,US,yes
02120,Service Area,US,yes
02121,Service Area,US,yes
02122,Service Area,US,yes
02124,Service Area,US,yes
02125,Service Area,US,yes
02126,Service Area,US,yes
02127,Service Area,US,yes
02128,Service Area,US,yes
02129,Service Area,US,yes
02130,Service Area,US,yes
02131,Service Area,US,yes
02132,Service Area,US,yes
02134,Service Area,US,yes
02135,Service Area,US,yes
02136,Service Area,US,yes
02138,Service Area,US,yes
02139,Service Area,US,yes
02140,Service Area,US,yes
02141,Service Area,US,yes
02142,Service Area,US,yes
02143,Service Area,US,yes
02144,Service Area,US,yes
02145,Service Area,US,yes
02148,Service Area,US,yes
02149,Service Area,US,yes
02150,Service Area,US,yes
02151,Service Area,US,yes
02152,Service Area,US,yes
02155,Service Area,US,yes
02163,Service Area,US,yes
02169,Service Area,US,yes
02170,Service Area,US,yes
02171,Service Area,US,yes
02176,Service Area,US,yes
02180,Service Area,US,yes
02184,Service Area,US,yes
02186,Service Area,US,yes
02188,Service Area,US,yes
02189,Service Area,US,yes
02190,Service Area,US,yes
02191,Service Area,US,yes
02199,Service Area,US,yes
02203,Service Area,US,yes
02210,Service Area,US,yes
02215,Service Area,US,yes
02301,Service Area,US,yes
02302,Service Area,US,yes
02322,Service Area,US,yes
02324,Service Area,US,yes
02330,Service Area,US,yes
02332,Service Area,US,yes
02333,Service Area,US,yes
02338,Service Area,US,yes
02339,Service Area,US,yes
02341,Service Area,US,yes
02343,Service Area,US,yes
02346,Service Area,US,yes
02347,Service Area,US,yes
02351,Service Area,US,yes
02356,Service Area,US,yes
02357,Service Area,US,yes
02359,Service Area,US,yes
02360,Service Area,US,yes
02364,Service Area,US,yes
02366,Service Area,US,yes
02367,Service Area,US,yes
02368,Service Area,US,yes
02370,Service Area,US,yes
02375,Service Area,US,yes
02379,Service Area,US,yes
02382,Service Area,US,yes
02420,Service Area,US,yes
02421,Service Area,US,yes
02445,Service Area,US,yes
02446,Service Area,US,yes
02451,Service Area,US,yes
02452,Service Area,US,yes
02453,Service Area,US,yes
02457,Service Area,US,yes
02458,Service Area,US,yes
02459,Service Area,US,yes
02460,Service Area,US,yes
02461,Service Area,US,yes
02462,Service Area,US,yes
02464,Service Area,US,yes
02465,Service Area,US,yes
02466,Service Area,US,yes
02467,Service Area,US,yes
02468,Service Area,US,yes
02472,Service Area,US,yes
02474,Service Area,US,yes
02476,Service Area,US,yes
02478,Service Area,US,yes
02481,Service Area,US,yes
02482,Service Area,US,yes
02492,Service Area,US,yes
02493,Service Area,US,yes
02494,Service Area,US,yes
02532,Service Area,US,yes
02534,Service Area,US,yes
02535,Service Area,US,yes
02536,Service Area,US,yes
02537,Service Area,US,yes
02538,Service Area,US,yes
02539,Service Area,US,yes
02540,Service Area,US,yes
02542,Service Area,US,yes
02543,Service Area,US,yes
02553,Service Area,US,yes
02556,Service Area,US,yes
02557,Service Area,US,yes
02558,Service Area,US,yes
02559,Service Area,US,yes
02561,Service Area,US,yes
02562,Service Area,US,yes
02563,Service Area,US,yes
02568,Service Area,US,yes
02571,Service Area,US,yes
02575,Service Area,US,yes
02576,Service Area,US,yes
02601,Service Area,US,yes
02630,Service Area,US,yes
02631,Service Area,US,yes
02632,Service Area,US,yes
02633,Service Area,US,yes
02635,Service Area,US,yes
02637,Service Area,US,yes
02638,Service Area,US,yes
02639,Service Area,US,yes
02641,Service Area,US,yes
02642,Service Area,US,yes
02643,Service Area,US,yes
02644,Service Area,US,yes
02645,Service Area,US,yes
02646,Service Area,US,yes
02647,Service Area,US,yes
02648,Service Area,US,yes
02649,Service Area,US,yes
02650,Service Area,US,yes
02651,Service Area,US,yes
02652,Service Area,US,yes
02653,Service Area,US,yes
02655,Service Area,US,yes
02657,Service Area,US,yes
02659,Service Area,US,yes
02660,Service Area,US,yes
02663,Service Area,US,yes
02664,Service Area,US,yes
02666,Service Area,US,yes
02667,Service Area,US,yes
02668,Service Area,US,yes
02669,Service Area,US,yes
02670,Service Area,US,yes
02671,Service Area,US,yes
02672,Service Area,US,yes
02673,Service Area,US,yes
02675,Service Area,US,yes
02702,Service Area,US,yes
02703,Service Area,US,yes
02713,Service Area,US,yes
02715,Service Area,US,yes
02717,Service Area,US,yes
02718,Service Area,US,yes
02719,Service Area,US,yes
02720,Service Area,US,yes
02721,Service Area,US,yes
02723,Service Area,US,yes
02724,Service Area,US,yes
02725,Service Area,US,yes
02726,Service Area,US,yes
02738,Service Area,US,yes
02739,Service Area,US,yes
02740,Service Area,US,yes
02743,Service Area,US,yes
02744,Service Area,US,yes
02745,Service Area,US,yes
02746,Service Area,US,yes
02747,Service Area,US,yes
02748,Service Area,US,yes
02760,Service Area,US,yes
02762,Service Area,US,yes
02763,Service Area,US,yes
02764,Service Area,US,yes
02766,Service Area,US,yes
02767,Service Area,US,yes
02769,Service Area,US,yes
02770,Service Area,US,yes
02771,Service Area,US,yes
02777,Service Area,US,yes
02779,Service Area,US,yes
02780,Service Area,US,yes
02790,Service Area,US,yes
02791,Service Area,US,yes
02802,Service Area,US,yes
02804,Service Area,US,yes
02806,Service Area,US,yes
02807,Service Area,US,yes
02808,Service Area,US,yes
02809,Service Area,US,yes
02812,Service Area,US,yes
02813,Service Area,US,yes
02814,Service Area,US,yes
02815,Service Area,US,yes
02816,Service Area,US,yes
02817,Service Area,US,yes
02818,Service Area,US,yes
02822,Service Area,US,yes
02825,Service Area,US,yes
02826,Service Area,US,yes
02827,Service Area,US,yes
02828,Service Area,US,yes
02830,Service Area,US,yes
02831,Service Area,US,yes
02832,Service Area,US,yes
02833,Service Area,US,yes
02835,Service Area,US,yes
02836,Service Area,US,yes
02837,Service Area,US,yes
02838,Service Area,US,yes
02839,Service Area,US,yes
02840,Service Area,US,yes
02841,Service Area,US,yes
02842,Service Area,US,yes
02852,Service Area,US,yes
02857,Service Area,US,yes
02858,Service Area,US,yes
02859,Service Area,US,yes
02860,Service Area,US,yes
02861,Service Area,US,yes
02863,Service Area,US,yes
02864,Service Area,US,yes
02865,Service Area,US,yes
02871,Service Area,US,yes
02872,Service Area,US,yes
02873,Service Area,US,yes
02874,Service Area,US,yes
02875,Service Area,US,yes
02876,Service Area,US,yes
02878,Service Area,US,yes
02879,Service Area,US,yes
02881,Service Area,US,yes
02882,Service Area,US,yes
02885,Service Area,US,yes
02886,Service Area,US,yes
02888,Service Area,US,yes
02889,Service Area,US,yes
02891,Service Area,US,yes
02892,Service Area,US,yes
02893,Service Area,US,yes
02894,Service Area,US,yes
02895,Service Area,US,yes
02896,Service Area,US,yes
02898,Service Area,US,yes
02903,Service Area,US,yes
02904,Service Area,US,yes
02905,Service Area,US,yes
02906,Service Area,US,yes
02907,Service Area,US,yes
02908,Service Area,US,yes
02909,Service Area,US,yes
02910,Service Area,US,yes
02911,Service Area,US,yes
02912,Service Area,US,yes
02914,Service Area,US,yes
02915,Service Area,US,yes
02916,Service Area,US,yes
02917,Service Area,US,yes
02919,Service Area,US,yes
02920,Service Area,US,yes
02921,Service Area,US,yes
03031,Service Area,US,yes
03032,Service Area,US,yes
03033,Service Area,US,yes
03034,Service Area,US,yes
03036,Service Area,US,yes
03037,Service Area,US,yes
03038,Service Area,US,yes
03042,Service Area,US,yes
03043,Service Area,US,yes
03044,Service Area,US,yes
03045,Service Area,US,yes
03046,Service Area,US,yes
03047,Service Area,US,yes
03048,Service Area,US,yes
03049,Service Area,US,yes
03051,Service Area,US,yes
03052,Service Area,US,yes
03053,Service Area,US,yes
03054,Service Area,US,yes
03055,Service Area,US,yes
03057,Service Area,US,yes
03060,Service Area,US,yes
03062,Service Area,US,yes
03063,Service Area,US,yes
03064,Service Area,US,yes
03070,Service Area,US,yes
03071,Service Area,US,yes
03076,Service Area,US,yes
03077,Service Area,US,yes
03079,Service Area,US,yes
03082,Service Area,US,yes
03084,Service Area,US,yes
03086,Service Area,US,yes
03087,Service Area,US,yes
03101,Service Area,US,yes
03102,Service Area,US,yes
03103,Service Area,US,yes
